detector,data_mode,catalog,candidate_kind,subset,variant,stage,query_total,catalog_total,sis_lensed_images,sis_unlensed,pm_lensed_images,pm_unlensed,total_lensed_images,total_unlensed,epochs,backbone,preprocess,train_s,mean_epoch_s,sky_sigma_rad,sky_val_mean_angular_error_rad,sky_val_median_angular_error_rad,val_hard_candidate_kind,val_hard_n_queries,val_hard_target_negatives_per_query,val_hard_shortage_queries,val_hard_mean_used_eps,val_hard_p_dt_pos_lt_dt_neg,valid,r@1,r@5,r@10,r@50,r@100,r@500,median_true_rank,top_1pct_k,top_1pct,top_5pct_k,top_5pct,top_10pct_k,top_10pct,val_auc_hard_sampled,train_examples,train_positive
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,predicted_sky_overlap_only,direct_full_catalog,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.0003333333333333333,0.001,0.0015,0.007666666666666667,0.014666666666666665,0.07633333333333334,4202.0,90,0.013666666666666667,450,0.06916666666666667,900,0.12466666666666666,,,
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.05683333333333333,0.09316666666666666,0.13733333333333334,0.334,0.45216666666666666,0.6421666666666667,138.0,90,0.43516666666666665,450,0.6306666666666667,900,0.6981666666666667,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.022333333333333334,0.042,0.07266666666666667,0.17533333333333334,0.22466666666666665,0.41333333333333333,942.5,90,0.21566666666666667,450,0.39766666666666667,900,0.49,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.09133333333333334,0.14433333333333334,0.202,0.49266666666666664,0.6796666666666666,0.871,52.0,90,0.6546666666666666,450,0.8636666666666667,900,0.9063333333333333,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.05683333333333333,0.09316666666666668,0.13733333333333334,0.33399999999999996,0.45216666666666666,0.6421666666666667,497.25,90,0.43516666666666665,450,0.6306666666666667,900,0.6981666666666666,0.8057205534027778,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.0033333333333333335,0.009666666666666667,0.01633333333333333,0.060333333333333336,0.09616666666666666,0.22233333333333333,2549.5,90,0.0915,450,0.211,900,0.29933333333333334,0.7393057538194445,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.004666666666666667,0.013333333333333334,0.018333333333333333,0.07033333333333333,0.112,0.25566666666666665,2139.5,90,0.10533333333333333,450,0.24133333333333334,900,0.3403333333333333,0.7393057538194445,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.002,0.006,0.014333333333333333,0.050333333333333334,0.08033333333333334,0.189,2888.5,90,0.07766666666666666,450,0.18066666666666667,900,0.25833333333333336,0.7393057538194445,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.0033333333333333335,0.009666666666666667,0.01633333333333333,0.060333333333333336,0.09616666666666668,0.22233333333333333,2514.0,90,0.0915,450,0.21100000000000002,900,0.29933333333333334,0.7393057538194445,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.045,0.08683333333333333,0.12833333333333333,0.33816666666666667,0.4666666666666667,0.6518333333333334,124.0,90,0.44683333333333336,450,0.6421666666666667,900,0.703,0.8138330122916667,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.012,0.044,0.075,0.17866666666666667,0.24033333333333334,0.431,860.0,90,0.22866666666666666,450,0.41733333333333333,900,0.506,0.8138330122916667,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.078,0.12966666666666668,0.18166666666666667,0.49766666666666665,0.693,0.8726666666666667,51.0,90,0.665,450,0.867,900,0.9,0.8138330122916667,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time_plus_predicted_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.045,0.08683333333333335,0.12833333333333333,0.33816666666666667,0.4666666666666667,0.6518333333333334,455.5,90,0.44683333333333336,450,0.6421666666666667,900,0.7030000000000001,0.8138330122916667,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.218,0.4395,0.6166666666666667,0.9998333333333334,1.0,1.0,7.0,90,1.0,450,1.0,900,1.0,0.9993522386805554,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.24866666666666667,0.4786666666666667,0.6406666666666667,0.9996666666666667,1.0,1.0,6.0,90,1.0,450,1.0,900,1.0,0.9993522386805554,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.18733333333333332,0.4003333333333333,0.5926666666666667,1.0,1.0,1.0,8.0,90,1.0,450,1.0,900,1.0,0.9993522386805554,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.218,0.4395,0.6166666666666667,0.9998333333333334,1.0,1.0,7.0,90,1.0,450,1.0,900,1.0,0.9993522386805554,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,overall,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.6103333333333333,0.821,0.931,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9997214824999999,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,SIS,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.36766666666666664,0.679,0.8776666666666667,1.0,1.0,1.0,3.0,90,1.0,450,1.0,900,1.0,0.9997214824999999,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,PM,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,3000,0.853,0.963,0.9843333333333333,1.0,1.0,1.0,1.0,90,1.0,450,1.0,900,1.0,0.9997214824999999,1206000.0,6000.0
LIGO,noisy,fresh50_mixed_SIS_PM_unlensed_full_catalog,full_catalog,macro,waveform_plus_time_plus_true_sky_overlap,hard_trained_full_catalog_rerank,6000,9000,3000,1500,3000,1500,6000,3000,50,inceptiontime,bandpass,916.3076451001689,18.32598229115829,1.5213291645050049,1.5396171808242798,1.5213291645050049,hard,6000,200,3533,0.7714166666666666,0.8311241666666667,6000,0.6103333333333333,0.821,0.931,1.0,1.0,1.0,2.0,90,1.0,450,1.0,900,1.0,0.9997214824999999,1206000.0,6000.0
